mail.ud15.udmedia.de= Usage: [3], Selector: [1], Type: [1] 2e81a1a808ed7b71b2122661e732ad284211cf5e79b0cb4a2787efcd277c40 
mx1.pub.mailpod10-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 68f9341f4ce3cb0507631ec564ae59a802bf1a36437a6d81142b80e0afe5dd Usage: [3], Selector: [1], Type: [1] 196078cc783b2a93dd36edc806a90bea0169b00a8d3fde09335011980325dc 
mx1.pub.mailpod4-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 3c422de5da2dab51159b28cf8c1686c18a1d5aee02a02ea7031534f2146afa Usage: [3], Selector: [1], Type: [1] 25b80f6906a373b766efb86cbdbababfa8b9e043d7be13f1db6dcf2b8968b2 
mx1.pub.mailpod7-cph3.one.com= Usage: [3], Selector: [1], Type: [1] c5d0655d39a4e4bb3b499e5ad0d4871e73c9a3a58326d950b74a2aad23f79b Usage: [3], Selector: [1], Type: [1] 5951d49471d48255f349e181309afabd14a7cc96484986056e19dbfe0793e7 
mx1.pub.mailpod8-cph3.one.com= Usage: [3], Selector: [1], Type: [1] d965a3d89b4bba62521c15ef86590072cb637ac7050cc7fb27f8cf16b22bc8 Usage: [3], Selector: [1], Type: [1] 40553b772cb486b06695dbd52f4d73f3c013501868f0b935f4c532d013d0e6 
mx2.pub.mailpod10-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 196078cc783b2a93dd36edc806a90bea0169b00a8d3fde09335011980325dc Usage: [3], Selector: [1], Type: [1] 68f9341f4ce3cb0507631ec564ae59a802bf1a36437a6d81142b80e0afe5dd 
mx2.pub.mailpod4-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 25b80f6906a373b766efb86cbdbababfa8b9e043d7be13f1db6dcf2b8968b2 Usage: [3], Selector: [1], Type: [1] 3c422de5da2dab51159b28cf8c1686c18a1d5aee02a02ea7031534f2146afa 
mx2.pub.mailpod7-cph3.one.com= Usage: [3], Selector: [1], Type: [1] c5d0655d39a4e4bb3b499e5ad0d4871e73c9a3a58326d950b74a2aad23f79b Usage: [3], Selector: [1], Type: [1] 5951d49471d48255f349e181309afabd14a7cc96484986056e19dbfe0793e7 
mx2.pub.mailpod8-cph3.one.com= Usage: [3], Selector: [1], Type: [1] d965a3d89b4bba62521c15ef86590072cb637ac7050cc7fb27f8cf16b22bc8 Usage: [3], Selector: [1], Type: [1] 40553b772cb486b06695dbd52f4d73f3c013501868f0b935f4c532d013d0e6 
mx3.pub.mailpod10-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 68f9341f4ce3cb0507631ec564ae59a802bf1a36437a6d81142b80e0afe5dd Usage: [3], Selector: [1], Type: [1] 196078cc783b2a93dd36edc806a90bea0169b00a8d3fde09335011980325dc 
mx3.pub.mailpod4-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 25b80f6906a373b766efb86cbdbababfa8b9e043d7be13f1db6dcf2b8968b2 Usage: [3], Selector: [1], Type: [1] 3c422de5da2dab51159b28cf8c1686c18a1d5aee02a02ea7031534f2146afa 
mx3.pub.mailpod7-cph3.one.com= Usage: [3], Selector: [1], Type: [1] c5d0655d39a4e4bb3b499e5ad0d4871e73c9a3a58326d950b74a2aad23f79b Usage: [3], Selector: [1], Type: [1] 5951d49471d48255f349e181309afabd14a7cc96484986056e19dbfe0793e7 
mx3.pub.mailpod8-cph3.one.com= Usage: [3], Selector: [1], Type: [1] d965a3d89b4bba62521c15ef86590072cb637ac7050cc7fb27f8cf16b22bc8 Usage: [3], Selector: [1], Type: [1] 40553b772cb486b06695dbd52f4d73f3c013501868f0b935f4c532d013d0e6 
mx4.pub.mailpod10-cph3.one.com= Usage: [3], Selector: [1], Type: [1] 196078cc783b2a93dd36edc806a90bea0169b00a8d3fde09335011980325dc Usage: [3], Selector: [1], Type: [1] 68f9341f4ce3cb0507631ec564ae59a802bf1a36437a6d81142b80e0afe5dd 
mx9.onebit.cz= Usage: [3], Selector: [1], Type: [1] bbbc3e49bb48b7fa01a3beaaccec9493f921d463ae4bf687d8c70a8e8ae629 
mx9.onebit.eu= Usage: [3], Selector: [1], Type: [1] 1c8dd7cc6cb98b4783063d4d8d45a5bd3d261744707ca79ac30a3805d6c271 Usage: [3], Selector: [1], Type: [1] eb9a0965ccba1074232212df897e1bbd622c555afbc3d413295e4ef2a6809c 
